Date,Open,High,Low,Close,Volume,buy_setup_count,sell_setup_count,buy_perfect,sell_perfect,buy_intersection,sell_intersection,buy_countdown_count,sell_countdown_count,tdst_support,tdst_resistance,bb_middle,bb_upper,bb_lower,recommendation
2025-05-12 00:00:00-04:00,5.103070023938953,5.1426286697387695,5.0734012753772175,5.1426286697387695,20136100,0,0,False,False,False,False,0,0,,,,,,HOLD
2025-05-13 00:00:00-04:00,5.112960038527699,5.162408111124256,5.112960038527699,5.122849464416504,12144000,0,0,False,False,False,False,0,0,,,,,,HOLD
2025-05-14 00:00:00-04:00,5.132739176833051,5.152518499473831,5.03384256362915,5.03384256362915,18986700,0,0,False,False,False,False,0,0,,,,,,HOLD
2025-05-15 00:00:00-04:00,5.063511673932921,5.142628970154329,5.053622247693387,5.132739543914795,15721300,0,0,False,False,False,False,0,0,,,,,,HOLD
2025-05-16 00:00:00-04:00,5.112960219859443,5.142628970154329,5.083290997988273,5.132739543914795,11119400,0,0,False,False,False,False,0,0,,,,,,HOLD
2025-05-19 00:00:00-04:00,5.122849585753387,5.192077454919777,5.122849585753387,5.182187557220459,11782800,0,1,False,False,False,False,0,0,,,,,,HOLD
2025-05-20 00:00:00-04:00,5.201967180553388,5.261305150057736,5.192077283181199,5.251415252685547,13727400,0,2,False,False,False,False,0,0,,,,,,HOLD
2025-05-21 00:00:00-04:00,5.261305214097238,5.320643184323835,5.21185666978694,5.2810845375061035,29625900,0,3,False,False,False,False,0,0,,,,,,HOLD
2025-05-22 00:00:00-04:00,5.281084419860124,5.340422388764858,5.271194522587873,5.300863742828369,13117000,0,4,False,False,False,False,0,0,,,,,,HOLD
2025-05-23 00:00:00-04:00,5.2217465672795065,5.300863860914969,5.21185666978694,5.2810845375061035,12311700,0,5,False,False,False,False,0,0,,,,,,HOLD
2025-05-27 00:00:00-04:00,5.3898704016392704,5.3898704016392704,5.3206430077932305,5.350311756134033,17753800,0,6,False,False,False,False,0,0,,,,,,HOLD
2025-05-28 00:00:00-04:00,5.360201771382427,5.370091197188472,5.3008638018173695,5.330532550811768,10924800,0,7,False,False,False,False,0,0,,,,,,HOLD
2025-05-29 00:00:00-04:00,5.320643362059768,5.350312112376017,5.261305389850988,5.290974140167236,13198400,1,0,False,False,False,False,0,0,,,,,,HOLD
2025-05-30 00:00:00-04:00,5.162408351898193,5.182187676174574,5.122849703345433,5.162408351898193,18861200,2,0,False,False,False,False,0,0,,,,,,HOLD
2025-06-02 00:00:00-04:00,5.172297960013083,5.261305150057736,5.1624080626408935,5.251415252685547,13350300,3,0,False,False,False,False,0,0,,,,,,HOLD
2025-06-03 00:00:00-04:00,5.21185666978694,5.300863860914969,5.201967243870641,5.2810845375061035,16226500,4,0,False,False,False,False,0,0,,,,,,HOLD
2025-06-04 00:00:00-04:00,5.3206430077932305,5.3898704016392704,5.3206430077932305,5.350311756134033,12053900,0,1,False,False,False,False,0,0,,,,,,HOLD
2025-06-05 00:00:00-04:00,5.37998109457078,5.409649843565178,5.310753227623414,5.330532550811768,14500600,0,2,False,False,False,False,0,0,,,,,,HOLD
2025-06-06 00:00:00-04:00,5.360201653298469,5.379980976051088,5.34042233054585,5.350311756134033,9334600,0,3,False,False,False,False,0,0,,,,,,HOLD
2025-06-09 00:00:00-04:00,5.340422687966999,5.379981336119799,5.310753466064258,5.370091438293457,8572000,0,4,False,False,False,False,0,0,,,5.246470475196839,5.4404268647984475,5.05251408559523,HOLD
2025-06-10 00:00:00-04:00,5.350312112376017,5.360202010198956,5.281084713920581,5.290974140167236,7443600,1,0,False,False,False,False,0,0,,,5.253887748718261,5.442393100743249,5.065382396693273,HOLD
2025-06-11 00:00:00-04:00,5.290973839219973,5.290973839219973,5.211856547441741,5.221746444702148,11214200,2,0,False,False,False,False,0,0,,,5.258832597732544,5.437812615794211,5.079852579670877,HOLD
2025-06-12 00:00:00-04:00,5.231636110616498,5.290974082174898,5.221746684478238,5.261305332183838,14290800,3,0,False,False,False,False,0,0,,,5.270205736160278,5.414544085753993,5.125867386566564,HOLD
2025-06-13 00:00:00-04:00,5.162408294209681,5.182187618265033,5.112960219859443,5.132739543914795,15360700,4,0,False,False,False,False,0,0,,,5.270205736160278,5.414544085753993,5.125867386566564,HOLD
2025-06-16 00:00:00-04:00,5.201967478261404,5.3206434240619105,5.201967478261404,5.241526126861572,15756000,5,0,False,False,False,False,0,0,,,5.275645065307617,5.4056598385361525,5.1456302920790815,HOLD
2025-06-17 00:00:00-04:00,5.201967169412899,5.211856595187646,5.083290759082097,5.0931806564331055,20993000,6,0,False,False,False,False,0,0,,,5.27119472026825,5.419487523970992,5.122901916565508,HOLD
