Date,Open,High,Low,Close,Volume,buy_setup_count,sell_setup_count,buy_perfect,sell_perfect,buy_intersection,sell_intersection,buy_countdown_count,sell_countdown_count,buy_countdown_recycled,sell_countdown_recycled,tdst_support,tdst_resistance,bb_middle,bb_upper,bb_lower,recommendation
2025-05-12 00:00:00-04:00,206.37128163083375,222.60248901026043,197.74550191693336,209.3289479452051,53751365,0,0,False,False,False,False,0,0,False,False,,,,,,HOLD
2025-05-13 00:00:00-04:00,209.59847136477597,212.55673652410627,208.17412935394688,212.08859252929688,51909300,0,0,False,False,False,False,0,0,False,False,,,,,,HOLD
2025-05-14 00:00:00-04:00,211.5905625216416,213.09460539099953,209.7478820292828,211.490966796875,49325800,0,0,False,False,False,False,0,0,False,False,,,,,,HOLD
2025-05-15 00:00:00-04:00,210.11643191755599,212.11849916658366,208.71199985896817,210.6144561767578,45029500,0,0,False,False,False,False,0,0,False,False,,,,,,HOLD
2025-05-16 00:00:00-04:00,211.52086084946143,211.73003772257164,208.94109887256835,210.42520141601562,54737900,0,0,False,False,False,False,0,0,False,False,,,,,,HOLD
2025-05-19 00:00:00-04:00,207.0884445111699,208.65223273202483,203.45285841572866,207.9550018310547,46140500,1,0,False,False,False,False,0,0,False,False,,,,,,HOLD
2025-05-20 00:00:00-04:00,206.84938410987283,207.64622592622177,204.2198167548668,206.04258728027344,42496600,2,0,False,False,False,False,0,0,False,False,,,,,,HOLD
2025-05-21 00:00:00-04:00,204.3592586621154,206.22186440009241,199.91689108628387,201.2914276123047,59211800,3,0,False,False,False,False,0,0,False,False,,,,,,HOLD
2025-05-22 00:00:00-04:00,199.91689038506837,201.94882252859867,198.91087172706415,200.56431579589844,46742400,4,0,False,False,False,False,0,0,False,False,,,,,,HOLD
2025-05-23 00:00:00-04:00,192.9046989896,196.91877297523902,192.6955373289648,194.49838256835938,78432900,5,0,False,False,False,False,0,0,False,False,,,,,,HOLD
2025-05-27 00:00:00-04:00,197.51641281084125,199.94677348688452,196.64984031499387,199.4188690185547,56288500,6,0,False,False,False,False,0,0,False,False,,,,,,HOLD
2025-05-28 00:00:00-04:00,199.79736291846774,201.9289060786693,199.11008702875665,199.62803649902344,45339700,7,0,False,False,False,False,0,0,False,False,,,,,,HOLD
2025-05-29 00:00:00-04:00,202.77554227533128,203.0046291598645,197.72556941325453,199.15988159179688,51396800,8,0,False,False,True,False,0,0,False,False,,,,,,HOLD
2025-05-30 00:00:00-04:00,198.5821728136608,201.1619498266407,196.00241099917397,200.05633544921875,70819900,0,1,False,False,False,False,0,0,False,False,,,,,,HOLD
2025-06-02 00:00:00-04:00,199.4885975362889,201.3312933884623,199.3292261245183,200.90298461914062,35423300,0,2,False,False,False,False,0,0,False,False,,,,,,HOLD
2025-06-03 00:00:00-04:00,200.55435521702816,202.9647905668523,200.16589694161215,202.46676635742188,46381600,0,3,False,False,False,False,0,0,False,False,,,,,,HOLD
2025-06-04 00:00:00-04:00,202.10819540070028,205.42503857555045,201.30139858491114,202.0185546875,43604000,0,4,False,False,False,False,0,0,False,False,,,,,,HOLD
2025-06-05 00:00:00-04:00,202.69585814733983,203.94091870107042,199.35908978394463,199.8372039794922,55126100,1,0,False,False,False,False,0,0,False,False,,,,,,HOLD
2025-06-06 00:00:00-04:00,202.19783403313102,204.8871617909174,201.2515910514923,203.11419677734375,46607700,0,1,False,False,False,False,0,0,False,False,,,,,,HOLD
2025-06-09 00:00:00-04:00,203.58234611432158,205.18598475848052,199.22961916524454,200.65396118164062,72862600,1,0,False,False,False,False,0,0,False,False,,,203.5778335056587,213.68151255739167,193.47415445392573,HOLD
2025-06-10 00:00:00-04:00,199.80731310224203,203.54249456453348,199.77743286642308,201.86912536621094,54672600,2,0,False,False,False,False,0,0,False,False,,,203.204842376709,212.95932839322666,193.45035636019134,HOLD
2025-06-11 00:00:00-04:00,202.69585666840098,203.69190510411792,197.62597377823997,197.9945068359375,60989900,3,0,False,False,False,False,0,0,False,False,,,202.50013809204103,211.56431750411562,193.43595867996643,HOLD
