Date,Open,High,Low,Close,Volume,buy_setup_count,sell_setup_count,buy_perfect,sell_perfect,buy_intersection,sell_intersection,buy_countdown_count,sell_countdown_count,buy_countdown_recycled,sell_countdown_recycled,tdst_support,tdst_resistance,bb_middle,bb_upper,bb_lower,recommendation
2025-05-13 00:00:00-04:00,124.95056035306071,131.18908818741485,124.44067836400953,129.89938354492188,330430100,0,0,False,False,False,False,0,0,False,False,,,,,,HOLD
2025-05-14 00:00:00-04:00,133.16861033831793,135.40808800730593,131.6489642323906,135.30810546875,281180800,0,0,False,False,False,False,0,0,False,False,,,,,,HOLD
2025-05-15 00:00:00-04:00,134.258351724734,136.2678878895653,132.6287461607251,134.79823303222656,226632600,0,0,False,False,False,False,0,0,False,False,,,,,,HOLD
2025-05-16 00:00:00-04:00,136.18791721457987,136.31789147723805,133.42857277146337,135.36810302734375,226542500,0,0,False,False,False,False,0,0,False,False,,,,,,HOLD
2025-05-19 00:00:00-04:00,132.35879696756518,135.83797251007488,132.35879696756518,135.53805541992188,193154600,0,0,False,False,False,False,0,0,False,False,,,,,,HOLD
2025-05-20 00:00:00-04:00,134.2583677555072,134.5483080029045,132.58876287408052,134.34835815429688,161514200,1,0,False,False,False,False,0,0,False,False,,,,,,HOLD
2025-05-21 00:00:00-04:00,133.02864907239967,137.36762292180558,130.55922977564506,131.76895141601562,270608700,2,0,False,False,False,False,0,0,False,False,,,,,,HOLD
2025-05-22 00:00:00-04:00,132.19884131725317,134.21836966107523,131.51900885300861,132.7987060546875,187344000,3,0,False,False,False,False,0,0,False,False,,,,,,HOLD
2025-05-23 00:00:00-04:00,129.96937433382988,132.64873565144939,129.12957588399638,131.25906372070312,198821300,4,0,False,False,False,False,0,0,False,False,,,,,,HOLD
2025-05-27 00:00:00-04:00,134.1183754403962,135.6280293045703,133.27857708527512,135.4680633544922,192953600,0,1,False,False,False,False,0,0,False,False,,,,,,HOLD
2025-05-28 00:00:00-04:00,135.9979578766118,137.2176717346689,134.75824445795843,134.7782440185547,304021100,0,2,False,False,False,False,0,0,False,False,,,,,,HOLD
2025-05-29 00:00:00-04:00,142.21648797143945,143.45620133736625,137.87751407348716,139.15721130371094,369241900,0,3,False,False,False,False,0,0,False,False,,,,,,HOLD
2025-05-30 00:00:00-04:00,138.6873257641086,139.58710766728817,132.88868890141003,135.09817504882812,333170900,0,4,False,False,False,False,0,0,False,False,,,,,,HOLD
2025-06-02 00:00:00-04:00,135.45808684638126,138.08745689917103,135.36809645457458,137.34764099121094,197663100,0,5,False,False,False,False,0,0,False,False,,,,,,HOLD
