Date,Open,High,Low,Close,Volume,buy_setup_cond,buy_setup_count,sell_setup_cond,sell_setup_count,buy_intersection,sell_intersection,buy_countdown_count,sell_countdown_count,tdst_support,tdst_resistance,bb_middle,bb_upper,bb_lower,recommendation
2025-05-12 00:00:00-04:00,74.5,76.30000305175781,71.76100158691406,74.06999969482422,3751500,False,0,False,0,False,False,0,0,,,,,,HOLD
2025-05-13 00:00:00-04:00,75.58999633789062,78.56999969482422,75.23999786376953,78.20999908447266,3451800,False,0,False,0,False,False,0,0,,,,,,HOLD
2025-05-14 00:00:00-04:00,78.9800033569336,79.8499984741211,76.58000183105469,77.1500015258789,2545500,False,0,False,0,False,False,0,0,,,,,,HOLD
2025-05-15 00:00:00-04:00,75.61000061035156,78.2699966430664,74.48999786376953,78.18000030517578,1479000,False,0,False,0,False,False,0,0,,,,,,HOLD
2025-05-16 00:00:00-04:00,78.75,79.5999984741211,76.80999755859375,79.30000305175781,1751600,False,0,True,1,False,False,0,0,,,,,,HOLD
2025-05-19 00:00:00-04:00,77.54000091552734,79.63999938964844,77.51399993896484,79.56999969482422,1481500,False,0,True,2,False,False,0,0,,,,,,HOLD
2025-05-20 00:00:00-04:00,79.41000366210938,81.76799774169922,78.83499908447266,81.51000213623047,1838500,False,0,True,3,False,False,0,0,,,,,,HOLD
2025-05-21 00:00:00-04:00,80.25,81.31999969482422,78.19999694824219,79.05999755859375,2373600,False,0,True,4,False,False,0,0,,,,,,HOLD
2025-05-22 00:00:00-04:00,80.5,83.22000122070312,79.5199966430664,82.77999877929688,1869100,False,0,True,5,False,False,0,0,,,,,,HOLD
2025-05-23 00:00:00-04:00,80.0,84.3949966430664,79.26000213623047,83.93000030517578,2981600,False,0,True,6,False,False,0,0,,,,,,HOLD
2025-05-27 00:00:00-04:00,86.04000091552734,92.01000213623047,84.66999816894531,91.72000122070312,4331500,False,0,True,7,False,False,0,0,,,,,,HOLD
2025-05-28 00:00:00-04:00,91.52999877929688,92.95500183105469,90.41000366210938,90.5,6225700,False,0,True,8,False,True,0,0,,,,,,HOLD
2025-05-29 00:00:00-04:00,108.87000274658203,120.80999755859375,108.58000183105469,111.83999633789062,16420100,False,0,True,9,False,False,0,1,,120.80999755859375,,,,SELL
2025-05-30 00:00:00-04:00,112.16000366210938,115.97000122070312,110.6500015258789,112.48999786376953,5865500,False,0,True,10,False,False,0,2,,120.80999755859375,,,,HOLD
2025-06-02 00:00:00-04:00,112.97000122070312,115.4000015258789,109.87999725341797,113.7699966430664,3547800,False,0,True,11,False,False,0,0,,120.80999755859375,,,,HOLD
2025-06-03 00:00:00-04:00,114.98999786376953,115.54900360107422,112.3499984741211,114.77999877929688,2291700,False,0,True,12,False,False,0,0,,120.80999755859375,,,,HOLD
2025-06-04 00:00:00-04:00,114.27999877929688,117.8499984741211,113.68299865722656,117.23999786376953,2372600,False,0,True,13,False,False,0,3,,120.80999755859375,,,,HOLD
2025-06-05 00:00:00-04:00,117.55999755859375,118.72000122070312,113.80999755859375,115.80000305175781,2232900,False,0,True,14,False,False,0,4,,120.80999755859375,,,,HOLD
2025-06-06 00:00:00-04:00,119.41999816894531,119.44999694824219,116.55999755859375,117.66000366210938,1997500,False,0,True,15,False,False,0,0,,120.80999755859375,,,,HOLD
2025-06-09 00:00:00-04:00,119.0,120.52999877929688,115.66000366210938,116.51000213623047,1667800,False,0,True,16,False,False,0,0,,120.80999755859375,94.80349998474121,129.6889127104136,59.9180872590688,HOLD
