Date,Open,High,Low,Close,Volume,buy_setup_count,sell_setup_count,buy_perfect,sell_perfect,buy_intersection,sell_intersection,buy_countdown_count,sell_countdown_count,tdst_support,tdst_resistance,bb_middle,bb_upper,bb_lower,recommendation
2025-05-12 00:00:00-04:00,22.18000030517578,22.670000076293945,21.8799991607666,22.18000030517578,94578700,0,0,False,False,False,False,0,0,,,,,,HOLD
2025-05-13 00:00:00-04:00,22.360000610351562,22.8799991607666,22.299999237060547,22.559999465942383,76850400,0,0,False,False,False,False,0,0,,,,,,HOLD
2025-05-14 00:00:00-04:00,22.350000381469727,22.459999084472656,21.459999084472656,21.520000457763672,91584800,0,0,False,False,False,False,0,0,,,,,,HOLD
2025-05-15 00:00:00-04:00,21.229999542236328,21.6299991607666,21.190000534057617,21.549999237060547,66705500,0,0,False,False,False,False,0,0,,,,,,HOLD
2025-05-16 00:00:00-04:00,21.530000686645508,21.760000228881836,21.350000381469727,21.65999984741211,55795100,0,0,False,False,False,False,0,0,,,,,,HOLD
2025-05-19 00:00:00-04:00,21.18000030517578,21.559999465942383,21.049999237060547,21.3799991607666,64279100,0,0,False,False,False,False,0,0,,,,,,HOLD
2025-05-20 00:00:00-04:00,21.329999923706055,21.40999984741211,21.1200008392334,21.270000457763672,48497400,0,0,False,False,False,False,0,0,,,,,,HOLD
2025-05-21 00:00:00-04:00,21.190000534057617,21.6299991607666,20.59000015258789,20.690000534057617,62904700,0,0,False,False,False,False,0,0,,,,,,HOLD
2025-05-22 00:00:00-04:00,20.729999542236328,20.899999618530273,20.510000228881836,20.549999237060547,56077500,0,0,False,False,False,False,0,0,,,,,,HOLD
2025-05-23 00:00:00-04:00,20.15999984741211,20.270000457763672,19.940000534057617,20.049999237060547,68206100,0,0,False,False,False,False,0,0,,,,,,HOLD
2025-05-27 00:00:00-04:00,20.440000534057617,20.670000076293945,20.18000030517578,20.549999237060547,69504600,0,0,False,False,False,False,0,0,,,,,,HOLD
2025-05-28 00:00:00-04:00,20.56999969482422,20.639999389648438,20.329999923706055,20.3700008392334,46096500,0,0,False,False,False,False,0,0,,,,,,HOLD
2025-05-29 00:00:00-04:00,20.540000915527344,20.600000381469727,20.100000381469727,20.25,66372200,0,0,False,False,False,False,0,0,,,,,,HOLD
2025-05-30 00:00:00-04:00,20.260000228881836,20.260000228881836,19.309999465942383,19.549999237060547,114281900,0,0,False,False,False,False,0,0,,,,,,HOLD
2025-06-02 00:00:00-04:00,19.479999542236328,19.81999969482422,19.3700008392334,19.739999771118164,67885500,0,0,False,False,False,False,0,0,,,,,,HOLD
2025-06-03 00:00:00-04:00,19.75,20.40999984741211,19.399999618530273,20.290000915527344,80401900,0,0,False,False,False,False,0,0,,,,,,HOLD
2025-06-04 00:00:00-04:00,20.34000015258789,20.5,20.010000228881836,20.25,71166500,0,0,False,False,False,False,0,0,,,,,,HOLD
2025-06-05 00:00:00-04:00,20.270000457763672,20.549999237060547,19.850000381469727,19.989999771118164,72458400,0,1,False,False,False,False,0,0,,,,,,HOLD
2025-06-06 00:00:00-04:00,20.170000076293945,20.440000534057617,20.030000686645508,20.059999465942383,70072800,0,2,False,False,False,False,0,0,,,,,,HOLD
