Date,Open,High,Low,Close,Volume,buy_setup_count,sell_setup_count,buy_perfect,sell_perfect,buy_intersection,sell_intersection,buy_countdown_count,sell_countdown_count,tdst_support,tdst_resistance,bb_middle,bb_upper,bb_lower,recommendation
2025-05-12 00:00:00-04:00,23.495043823389942,23.833450183843357,23.05995151209238,23.33067512512207,10753599,0,0,False,False,False,False,0,0,,,,,,HOLD
2025-05-13 00:00:00-04:00,23.417694884590322,24.065500739425865,23.301671001311156,23.939807891845703,7106494,0,0,False,False,False,False,0,0,,,,,,HOLD
2025-05-14 00:00:00-04:00,23.804443857223088,24.162186282123738,23.736761113436017,24.152517318725586,7321311,0,0,False,False,False,False,0,0,,,,,,HOLD
2025-05-15 00:00:00-04:00,23.830616858742726,24.103745943760618,23.557485913172485,24.084238052368164,6863190,0,0,False,False,False,False,0,0,,,,,,HOLD
2025-05-16 00:00:00-04:00,24.23055927119308,24.332982685684904,23.92816553578996,24.191539764404297,6942339,0,0,False,False,False,False,0,0,,,,,,HOLD
2025-05-19 00:00:00-04:00,23.879387420674902,24.03546170233535,23.58674860769961,23.898897171020508,5107234,1,0,False,False,False,False,0,0,,,,,,HOLD
2025-05-20 00:00:00-04:00,23.786720851878734,24.708535235102346,23.786720851878734,24.269575119018555,12957988,0,1,False,False,False,False,0,0,,,,,,HOLD
2025-05-21 00:00:00-04:00,24.269575767869533,24.376877545903714,23.825739132208703,23.889144897460938,7166360,1,0,False,False,False,False,0,0,,,,,,HOLD
2025-05-22 00:00:00-04:00,23.698927451790354,23.947670262751355,23.39165538838374,23.811105728149414,4895449,2,0,False,False,False,False,0,0,,,,,,HOLD
2025-05-23 00:00:00-04:00,23.65503138646352,23.986689707324096,23.567239368556177,23.918407440185547,4434629,0,1,False,False,False,False,0,0,,,,,,HOLD
2025-05-27 00:00:00-04:00,24.084237589959848,24.376876421303994,23.830616401203844,24.25006675720215,5538100,1,0,False,False,False,False,0,0,,,,,,HOLD
2025-05-28 00:00:00-04:00,24.41589787426721,24.44516064340712,23.859881073426834,23.957427978515625,7408990,0,1,False,False,False,False,0,0,,,,,,HOLD
2025-05-29 00:00:00-04:00,24.04521953292777,24.411019024383727,23.986692135249495,24.12325668334961,7051755,0,2,False,False,False,False,0,0,,,,,,HOLD
2025-05-30 00:00:00-04:00,23.89889710367809,24.137886893357837,23.64527593155647,23.713558197021484,12206406,1,0,False,False,False,False,0,0,,,,,,HOLD
2025-06-02 00:00:00-04:00,24.118378558430283,24.63049744002328,23.986690527068834,24.46466827392578,6721982,0,1,False,False,False,False,0,0,,,,,,HOLD
2025-06-03 00:00:00-04:00,24.5134403920975,24.95727699697851,24.152519299188867,24.81583595275879,5112448,0,2,False,False,False,False,0,0,,,,,,HOLD
2025-06-04 00:00:00-04:00,24.757307045672082,25.030437983477537,24.230556782003635,24.279329299926758,6178250,0,3,False,False,False,False,0,0,,,,,,HOLD
2025-06-05 00:00:00-04:00,24.386631475584977,24.464668621884755,24.025708511103296,24.220802307128906,5425920,0,4,False,False,False,False,0,0,,,,,,HOLD
2025-06-06 00:00:00-04:00,24.44515784751515,25.040192226003068,24.367120704480037,24.95240020751953,4692384,0,5,False,False,False,False,0,0,,,,,,HOLD
2025-06-09 00:00:00-04:00,25.025561651518125,25.576698178015626,24.84509924072116,25.313323974609375,6397786,0,6,False,False,False,False,0,0,,,24.17882890701294,25.075412419002756,23.28224539502312,HOLD
2025-06-10 00:00:00-04:00,25.537680417711982,25.693754708104002,25.147494691731936,25.235286712646484,6399006,0,7,False,False,False,False,0,0,,,24.27405948638916,25.195580593181003,23.352538379597316,HOLD
2025-06-11 00:00:00-04:00,25.401116462630263,25.508416376895998,25.00117399118625,25.14749526977539,8398490,0,8,False,False,False,True,0,0,,,24.334443855285645,25.319804698925946,23.349083011645344,HOLD
2025-06-12 00:00:00-04:00,25.059702795062982,25.518170792793573,24.82559135831423,25.498661041259766,6034689,0,9,False,False,False,True,0,0,23.986690527068834,,24.401751041412354,25.510913381405405,23.2925887014193,SELL (Setup Complete)
2025-06-13 00:00:00-04:00,25.849828088600987,26.07418464057329,24.89387262846073,26.044921875,10274534,0,10,False,False,False,False,0,1,23.986690527068834,,24.499785232543946,25.817728370499882,23.18184209458801,HOLD
2025-06-16 00:00:00-04:00,25.830319663308835,26.113205482048198,25.518171077494593,25.84007453918457,6987416,0,11,False,False,False,False,0,2,23.986690527068834,,24.58221197128296,26.01976133756668,23.144662604999237,HOLD
2025-06-17 00:00:00-04:00,26.13271458989329,26.259524252048628,25.762036757958075,26.035167694091797,5543351,0,12,False,False,False,False,0,0,23.986690527068834,,24.689025497436525,26.22676700512246,23.15128398975059,HOLD
2025-06-18 00:00:00-04:00,26.05467708944343,26.322931533527047,25.849830270927644,26.09369659423828,5137682,0,13,False,False,False,False,0,0,23.986690527068834,,24.78023157119751,26.425823692983748,23.134639449411274,HOLD
2025-06-20 00:00:00-04:00,26.01565738305763,26.771642553286608,26.01565738305763,26.30829620361328,21178935,0,14,False,False,False,False,0,3,23.986690527068834,,24.901189136505128,26.624784229218974,23.17759404379128,HOLD
2025-06-23 00:00:00-04:00,26.52290079211094,26.757012229936148,25.976638909966468,26.054676055908203,9366867,0,15,False,False,False,False,0,0,23.986690527068834,,25.013367652893066,26.73026663545381,23.296468670332324,HOLD
2025-06-24 00:00:00-04:00,25.644981186048337,26.415597732119824,25.557189168570897,26.1522216796875,6815276,0,16,False,False,False,False,0,0,23.986690527068834,,25.125058364868163,26.832646961729054,23.417469768007273,HOLD
2025-06-25 00:00:00-04:00,25.9571320183569,25.996149662553957,25.43037986755371,25.43037986755371,6952728,1,0,False,False,False,False,0,0,23.986690527068834,,25.184074020385744,26.845290019599457,23.52285802117203,HOLD
2025-06-26 00:00:00-04:00,25.44013363843073,25.69863133423137,25.167002698708632,25.313323974609375,6287710,2,0,False,False,False,False,0,0,23.986690527068834,,25.25186882019043,26.809762517815678,23.693975122565185,HOLD
2025-06-27 00:00:00-04:00,25.347464111842324,25.347464111842324,24.854853138210345,24.981664657592773,9629064,3,0,False,False,False,False,0,0,23.986690527068834,,25.294789218902586,26.76668791348407,23.822890524321103,HOLD
2025-06-30 00:00:00-04:00,24.835346111003314,24.981667397191153,24.6597639165723,24.757308959960938,5878178,4,0,False,False,False,False,0,0,23.986690527068834,,25.34697675704956,26.646768650936032,24.04718486316309,HOLD
2025-07-01 00:00:00-04:00,24.65976328889792,24.71829068555187,24.196416902385856,24.474424362182617,8169875,5,0,False,False,False,False,0,0,23.986690527068834,,25.347464561462402,26.645868825695164,24.04906029722964,HOLD
2025-07-02 00:00:00-04:00,24.562214874937087,24.610987392386644,24.015954865182458,24.415895462036133,7267078,6,0,False,False,False,False,0,0,23.986690527068834,,25.32746753692627,26.67185150057516,23.983083573277383,HOLD
2025-07-03 00:00:00-04:00,24.68902454858002,24.747553802210536,24.396385722636555,24.601232528686523,3494277,7,0,False,False,False,False,0,0,23.986690527068834,,25.34356269836426,26.642034803494028,24.04509059323449,HOLD
2025-07-07 00:00:00-04:00,24.43540277067994,24.640251432303995,23.937917150776308,24.21104621887207,7062122,8,0,False,False,True,False,0,0,23.986690527068834,,25.343074893951417,26.643329080289988,24.042820707612847,HOLD
2025-07-08 00:00:00-04:00,24.240310457909317,24.986540736401267,24.1232538159144,24.562213897705078,7858072,0,1,False,False,False,False,0,0,23.986690527068834,,25.323565578460695,26.659714358799487,23.987416798121902,HOLD
2025-07-09 00:00:00-04:00,24.493932500601073,24.80266696283908,24.420771864190126,24.523195266723633,6385225,0,2,False,False,False,False,0,0,23.986690527068834,,25.284059143066408,26.66737453519035,23.900743750942464,HOLD
2025-07-10 00:00:00-04:00,24.411017903936674,24.503688294938904,24.12325557611063,24.48417854309082,5185579,1,0,False,False,False,False,0,0,23.986690527068834,,25.24650373458862,26.675425967531517,23.817581501645726,HOLD
